GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TrabalhoFinal,com.trabfinal.entidades.geometria,Ponto,17,15,0,0,1,6,1,3,1,3
TrabalhoFinal,com.trabfinal.entidades.geometria,Area,46,118,10,10,7,23,10,7,1,6
TrabalhoFinal,com.trabfinal.entidades.geometria,SituacaoReta,0,34,0,0,0,2,0,1,0,1
TrabalhoFinal,com.trabfinal.entidades.geometria,Reta,40,15,0,0,4,6,2,3,2,3
TrabalhoFinal,com.trabfinal.interfaces.Persistencia,RepositorioPassageirosImplMem,63,0,0,0,12,0,4,0,4,0
TrabalhoFinal,com.trabfinal.interfaces.Persistencia,RepositorioBairrosImplMem,19,137,1,1,2,14,2,2,1,2
TrabalhoFinal,com.trabfinal.entidades,Roteiro,31,52,1,3,5,14,5,4,4,3
TrabalhoFinal,com.trabfinal.entidades,Bairro,33,64,2,0,6,11,4,5,3,5
TrabalhoFinal,com.trabfinal.entidades,Passageiro,76,21,2,0,11,8,8,3,7,3
TrabalhoFinal,com.trabfinal.entidades,Viagem,41,24,0,0,4,9,4,3,4,3
TrabalhoFinal,com.trabfinal.casosDeUso.Politicas,CustoViagem,18,0,0,0,6,0,2,0,2,0
TrabalhoFinal,com.trabfinal.casosDeUso.Politicas,CalculoCustoViagemRelampago,41,0,6,0,11,0,6,0,3,0
TrabalhoFinal,com.trabfinal.casosDeUso.Politicas,CalculoCustoViagemBasico,6,35,0,0,2,14,2,8,2,8
TrabalhoFinal,com.trabfinal.casosDeUso.Politicas,CalculoCustoViagemVerao,36,0,4,0,10,0,5,0,3,0
TrabalhoFinal,com.trabfinal.casosDeUso.Servicos,ServicosPassageiro,84,0,0,0,21,0,7,0,7,0
